name,glass-size (oz),category,measurement-1,ingredient-1,measurement-2,ingredient-2,measurement-3,ingredient-3,measurement-4,ingredient-4,measurement-5,ingredient-5,measurement-6,ingredient-6,special ingredients,instructions,glass,glass-size (oz).1
gauguin,6,cocktail classics,2 oz,light rum,1 oz,passion fruit syrup,1 oz,lemon juice,1 oz,lime juice,,,,,cherry,combine ingredients with a cup of crushed ice in blender and blend at low speed. serve in old-fashioned glass. garnish with a cherry.,old-fashioned glass,6
fort lauderdale,6,cocktail classics,1 1/2 oz,light rum,1/2 oz,sweet vermouth,1/4 oz,orange juice,1/4 oz,lime juice,,,,,orange slice,shake with ice and strain into old-fashioned glass over ice cubes. garnish with a orange slice.,old-fashioned glass,6
apple pie,6,cordials and liqueurs,3 oz,apple schnapps,1 oz,cinnamon schnapps,,,,,,,,,apple slice,pour into ice-filled old-fashioned glass. garnish with an apple slice and top with cinnamon.,old-fashioned glass,6
cuban cocktail no. 1,6,cocktail classics,2 oz,light rum,1/2 oz,powdered sugar,1/2 oz,lime juice,,,,,,,,shake with ice and  strain into cocktail glass.,cocktail glass,6
cool carlos,14,cocktail classics,1 1/2 oz,dark rum,2 oz,cranberry juice,2 oz,pineapple juice,1 oz,orange curacao,1 oz,sour mix,,,"pineapple slice, orange slice, cherry","mix all ingredients except curacao with ice, shake well. pour into collins glass and top with curacao. garnish with a pineapple slice, an orange slice, and a cherry.",collins glass,14
john collins,14,whiskies,2 oz,bourbon whiskey,1 oz,lemon juice,1 oz,soda water,1/2 oz,simple syrup,,,,,"orange slice, lemon slice, cherry","shake first three ingredients with ice and strain into collins glass. add ice, fill with soda water, and stir. garnish with an orange slice, a lemon slice , and a cherry. serve with straws.",collins glass,14
cherry rum,6,cocktail classics,1 1/2 oz,cherry-flavored brandy,1 1/4 oz,light rum,1 oz,light cream,,,,,,,,shake with ice and strain into cocktail glass.,cocktail glass,6
casa blanca,6,cocktail classics,2 oz,light rum,1 1/2 oz,lime juice,1 1/2 oz,triple sec,1 1/2 oz,maraschino,,,,,,shake with ice and strain into cocktail glass.,cocktail glass,6
caribbean champagne,6,cocktail classics,3,chilled champagne,1/2 oz,creme de baa,1/2 oz,light rum,,,,,,,baa slice,pour rum and baa liqueur into champagne flute. fill with champagne and stir lightly. garnish with a baa slice.,champagne flute,6
amber amour,14,cordials and liqueurs,1 1/2 oz,amaretto,1/4 oz,lemon juice,1/4 oz,simple syrup,6,soda water,,,,,cherry,"pour amaretto, lemon juice, and syrup into ice-filled collins glass. top with soda water and stir. garnish with a cherry.",collins glass,14
the joe lewis,6,whiskies,1 1/2 oz,scotch whiskey,1 oz,carrot juice,1 oz,agave nectar,3/4 oz,tawny port,1/2 oz,lemon juice,,,,shake with ice and strain into chilled cocktail glass.,cocktail glass,6
bacardi cocktail,6,cocktail classics,1 1/2 oz,light rum,1/2 oz,lime juice,1/2 oz,grenadine,,,,,,,,shake with ice and strain into cocktail glass.,cocktail glass,6
apple pie no. 1,6,cocktail classics,1 oz,apple brandy,3/4 oz,light rum,3/4 oz,sweet vermouth,1/2 oz,grenadine,1 oz,lemon juice,,,,shake with ice and strain into cocktail glass.,cocktail glass,6
yolanda,6,cocktail classics,1/2 oz,brandy,1/2 oz,gin,1/2 oz,anisette,1 oz,sweet vermouth,1 oz,grenadine,,,orange twist,shake with ice and strain into cocktail glass. garnish with a orange twist.,cocktail glass,6
yellow rattler,6,cocktail classics,1 oz,gin,1 oz,orange juice,1/2 oz,dry vermouth,1/2 oz,sweet vermouth,,,,,cocktail onion,shake with ice and strain into cocktail glass. garnish with a cocktail onion.,cocktail glass,6
why not?,6,cocktail classics,1 oz,gin,1 oz,apricot flavored brandy,1/2 oz,dry vermouth,1 oz,lemon juice,,,,,,shake with ice and strain into cocktail glass.,cocktail glass,6
amaretto stinger,6,cordials and liqueurs,1 1/2 oz,amaretto,3/4 oz,white creme de menthe,,,,,,,,,,shake with ice and strain into chilled cocktail glass.,cocktail glass,6
what the hell,6,cocktail classics,1 oz,gin,1 oz,dry vermouth,1 oz,apricot flavored brandy,1 oz,lemon juice,,,,,,stir in old-fashioned glass over ice cubes.,old-fashioned glass,6
webster cocktail,6,cocktail classics,1 1/2 oz,apricot flavored brandy,1 oz,gin,1/2 oz,dry vermouth,1/2 oz,lime juice,,,,,,shake with ice and strain into cocktail glass.,cocktail glass,6
union jack cocktail,6,cocktail classics,1 1/2 oz,gin,3/4 oz,sloe gin,1/2 oz,grenadine,,,,,,,,shake with ice and strain into cocktail glass.,cocktail glass,6
jocose julep,14,whiskies,2 1/2 oz,bourbon whiskey,1/2 oz,green creme de menthe,1 oz,lime juice,1/2 oz,simple syrup,,soda water,,,mint,combine first five ingredients in blender without ice until smooth. pour into ice-filled collins glass. fill with soda water and stir. garnish with mint sprig.,collins glass,14
trinity cocktail,6,cocktail classics,3/4 oz,gin,3/4 oz,dry vermouth,3/4 oz,sweet vermouth,,,,,,,,stir with ice and strain into cocktail glass.,cocktail glass,6
three stripes cocktail,6,cocktail classics,1 oz,gin,1/2 oz,dry vermouth,1 oz,orange juice,,,,,,,,shake with ice and strain into cocktail glass.,cocktail glass,6
tanq-a-rita,6,cocktail classics,1 1/2 oz,gin,3 oz,margarita mix,1 oz,triple sec,,,,,,,,shake with ice and strain into cocktail glass.,cocktail glass,6
amaretto sour,2,cordials and liqueurs,1 1/2 oz,amaretto,3/4 oz,lemon juice,1/2 oz,simple syrup,,,,,,,orange slice,shake with ice and strain into chilled sour glass. garnish with an orange slice.,cordial or pony glass,2
tailspin cocktail,6,cocktail classics,3/4 oz,gin,3/4 oz,sweet vermouth,3/4 oz,green chartreuse,1 oz,orange bitters,,,,,"lemon twist, cherry, olive",stir with ice and strain into cocktail glass. garnish with a lemon twist and a cherry or an olive.,cocktail glass,6
sweet patootie cocktail,6,cocktail classics,1 oz,gin,1/2 oz,triple sec,1 oz,orange juice,,,,,,,,shake with ice and strain into cocktail glass.,cocktail glass,6
sunshine cocktail,6,cocktail classics,3/4 oz,sweet vermouth,1 1/2 oz,gin,1 oz,bitters,,,,,,,orange twist,stir with ice and strain into cocktail glass. garnish with an orange twist,cocktail glass,6
spring feeling cocktail,6,cocktail classics,1 oz,lemon juice,1/2 oz,green chartreuse,1 oz,gin,,,,,,,,shake with ice and strain into cocktail glass.,cocktail glass,6
sphinx cocktail,6,cocktail classics,1 1/2 oz,gin,1 1/2 oz,sweet vermouth,1 1/2 oz,dry vermouth,,,,,,,lemon slice,stir with ice and strain into cocktail glass. garnish with a lemon slice.,cocktail glass,6
jitterbug sour,6,whiskies,2 oz,straight rye whiskey,1/2 oz,benedictine,3/4 oz,lemon juice,1/2 oz,honey syrup,1 oz,egg white,1 dash,angostura bitters,lemon twist,shake first five ingredients with ice and strain into chilled cocktail glass. add bitters and garnish with a lemon twist.,cocktail glass,6
southern gin cocktail,6,cocktail classics,2 oz,gin,2 oz,orange bitters,1/2 oz,triple sec,,,,,,,lemon twist,stir with ice and strain into cocktail glass. garnish with a lemon twist.,cocktail glass,6
society cocktail,6,cocktail classics,1 1/2 oz,gin,3/4 oz,dry vermouth,1/4 oz,grenadine,,,,,,,,stir with ice and strain into cocktail glass.,cocktail glass,6
snyder,6,cocktail classics,1 1/2 oz,gin,1/2 oz,dry vermouth,1/2 oz,triple sec,,,,,,,lemon twist,shake with ice and strain into cocktail glass. garnish with a lemon twist,cocktail glass,6
smiler cocktail,6,cocktail classics,1/2 oz,sweet vermouth,1/2 oz,dry vermouth,1 oz,gin,1 oz,bitters,1/4 oz,orange juice,,,,shake with ice and strain into cocktail glass.,cocktail glass,6
smile cocktail,6,cocktail classics,1 oz,grenadine,1 oz,gin,1/2 oz,lemon juice,,,,,,,,shake with ice and strain into cocktail glass.,cocktail glass,6
amaretto rose,14,cordials and liqueurs,1 1/2 oz,amaretto,1/2 oz,lemon juice,1/2 oz,simple syrup,,soda water,,,,,,pour first three ingredients into ice-filled collins glass and fill with soda water. stir.,collins glass,14
sand-martin cocktail,6,cocktail classics,1 oz,green chartreuse,1 1/2 oz,sweet vermouth,1 1/2 oz,gin,,,,,,,,stir with ice and strain into cocktail glass.,cocktail glass,6
irish whiskey highball,7,whiskies,2 oz,irish whiskey,1 oz,ginger ale or soda water,,,,,,,,,lemon twist,"pour whiskey into ice-filled highball glass. fill with ginger ale or soda water. garnish with a lemon twist, if desired, and stir.",highball glass,7
japanese,6,brandy,2 oz,brandy,1/2 oz,orgeat or almond syrup,2 oz,angostura bitters,,,,,,,lemon twist,stir with ice and strain into chilled cocktail glass. garnish with a lemon twist.,cocktail glass,6
roselyn cocktail,6,cocktail classics,3/4 oz,dry vermouth,1 1/2 oz,gin,1/2 oz,grenadine,,,,,,,lemon twist,stir with ice and strain into cocktail glass. garnish with a lemon twist.,cocktail glass,6
resolute cocktail,6,cocktail classics,1/4 oz,lemon juice,1/2 oz,apricot flavored brandy,1 oz,gin,,,,,,,,shake with ice and strain into cocktail glass.,cocktail glass,6
racquet club cocktail,6,cocktail classics,1 1/2 oz,gin,3/4 oz,dry vermouth,1 oz,orange bitters,,,,,,,,stir with ice and strain into cocktail glass.,cocktail glass,6
amaretto and cream,6,cordials and liqueurs,1 1/2 oz,amaretto,1 1/2 oz,half-and-half,,,,,,,,,,shake with ice and strain into chilled cocktail glass.,cocktail glass,6
pollyanna cocktai,6,cocktail classics,3 oz,orange,3 oz,pineapple,2 oz,gin,1/2 oz,sweet vermouth,1/2 oz,grenadine,,,,muddle ingredients. shake with ice and strain into cocktail glass.,cocktail glass,6
plaza cocktail,6,cocktail classics,3/4 oz,sweet vermouth,3/4 oz,dry vermouth,3/4 oz,gin,,,,,,,pineapple slice,shake with ice and strain into cocktail glass. garnish with a pineapple slice.,cocktail glass,6
irish whiskey cocktail,6,whiskies,2 oz,irish whiskey,1/2 oz,triple sec,1/2 oz,anisette,1/4 oz,maraschino liqueur,1 oz,angostura bitters,,,olive,stir with ice and strain into chilled cocktail glass. garnish with an olive.,cocktail glass,6
absinthe special cocktail,6,cordials and liqueurs,1 1/2 oz,absinthe,1/4 oz,simple syrup,1 oz,orange bitters,,,,,,,,shake with ice and strain into chilled cocktail glass.,cocktail glass,6
nineteenth hole,6,cocktail classics,1 1/2 oz,gin,1 oz,dry vermouth,1 oz,sweet vermouth,1 oz,bitters,,,,,olive,stir with ice in mixing glass and strain into cocktail glass and strain into cocktail glass. garnish with an olive.,cocktail glass,6
montreal club bouncer,6,cocktail classics,1 1/2 oz,gin,1/2 oz,anisette,,,,,,,,,,pour into old-fashioned glass over ice cubes. stir.,old-fashioned glass,6
monte carlo imperial highball,7,cocktail classics,2 oz,gin,1/2 oz,white creme de menthe,1/4 oz,lemon juice,,chilled champagne,,,,,,shake with ice and strain into highball glass over ice cubes. fill glass with champagne and stir.,highball glass,7
irish shillelagh,8,whiskies,1 1/2 oz,irish whiskey,1 oz,light rum,1/2 oz,sloe gin,1 oz,lemon juice,1/2 oz,simple syrup,,,"berries, peach slices, cherry","shake with ice and strain into ice-filled irish coffee glass. garnish with berries, peach slices, and a cherry.",irish coffee glass,8
melon cocktail,6,cocktail classics,2 oz,gin,1/4 oz,lemon juice,1/4 oz,maraschino,,,,,,,cherry,shake with ice and strain into cocktail glass. garnish with a cherry.,cocktail glass,6
martini (medium),6,cocktail classics,1 1/2 oz,gin,1/2 oz,dry vermouth,1/2 oz,sweet vermouth,,,,,,,olive,stir or shake with ice and strain into cocktail glass.,cocktail glass,6
martini (dry) (5-to-1),6,cocktail classics,1 2/3 oz,gin,1/3 oz,dry vermouth,,,,,,,,,olive,stir or shake with ice and strain into cocktail glass.,cocktail glass,6
mamie's sister,14,cocktail classics,1 oz,lime juice,2 oz,gin,,ginger ale,,,,,,,,"put the juice of one lime and a lime twist into collins glass, and add gin. fill glass with ginger ale and ice. stir.",collins glass,14
irish rickey,7,whiskies,1 1/2 oz,irish whiskey,1/2 oz,lime juice,1 oz,soda water,,,,,,,lime slice,pour whiskey and lime juice into ice-filled highball glass. fill with soda water and stir. garnish with a lime slice.,highball glass,7
maiden's prayer,6,cocktail classics,1 1/2 oz,gin,1/2 oz,triple sec,1 oz,lemon juice,,,,,,,,shake with ice and strain into cocktail glass.,cocktail glass,6
lone tree cocktail,6,cocktail classics,3/4 oz,sweet vermouth,1 1/2 oz,gin,,,,,,,,,,stir with ice and strain into cocktail glass.,cocktail glass,6
london buck,7,cocktail classics,2 oz,gin,1/2 oz,lemon juice,,ginger ale,,,,,,,,pour gin and lemon juice over ice cubes in highball glass. fill with ginger ale and stir.,highball glass,7
leap frog highball,7,cocktail classics,1/2 oz,lemon juice,2 oz,gin,,ginger ale,,,,,,,,pour into highball glass over ice cubes and fill with ginger ale. stir.,highball glass,7
incider cocktail,6,whiskies,1 1/2 oz,rye or bourbon whiskey,4 oz,apple cider,1 oz,apple slice,,,,,,,apple slice,stir whiskey and apple cider in ice-filled old-fashioned glass. garnish with an apple slice.,old-fashioned glass,6
kup's indispensable cocktail,6,cocktail classics,1/2 oz,light vermouth,1/2 oz,dry vermouth,1 1/2 oz,gin,1 oz,bitters,,,,,,stir with ice and strain into cocktail glass.,cocktail glass,6
knock-out cocktail,6,cocktail classics,1/2 oz,anisette,3/4 oz,gin,3/4 oz,dry vermouth,1 oz,creme de menthe (white),,,,,cherry,stir with ice and strain into cocktail glass. garnish with a cherry.,cocktail glass,6
k. g. b. cocktail,6,cocktail classics,1/2 oz,kummel,1 1/2 oz,gin,1/4 oz,apricot flavored brandy,1/4 oz,lemon juice,,,,,lemon twist,shake with ice and strain into cocktail glass. garnish with a lemon twist,cocktail glass,6
imperial fizz,7,whiskies,1 1/2 oz,bourbon or rye whiskey,1/2 oz,light rum,1 oz,lemon juice,1/2 oz,simple syrup,1 oz,soda water,,,,shake first four ingredients with ice and strain into ice-filled highball glass. fill with soda water and stir.,highball glass,7
jeyplak cocktail,6,cocktail classics,1 1/2 oz,gin,3/4 oz,sweet vermouth,1/4 oz,anisette,,,,,,,cherry,shake with ice and strain into cocktail glass. garnish with a cherry.,cocktail glass,6
h. p. w. cocktail,6,cocktail classics,1 1/2 oz,dry vermouth,1 1/2 oz,sweet vermouth,1 1/2 oz,gin,,,,,,,orange twist,stir with ice and strain into cocktail glass. garnish with a orange twist.,cocktail glass,6
i.a.p.,14,whiskies,2 oz,tennessee whiskey,1/4 oz,fernet-branca,3 oz,cola,,,,,,,,build in ice-filled collins glass.,collins glass,14
hotel plaza cocktail,6,cocktail classics,3/4 oz,sweet vermouth,3/4 oz,dry vermouth,3/4 oz,gin,,,,,,,pineapple slice,stir with ice and strain into cocktail glass. garnish with a pineapple slice.,cocktail glass,6
hoffman house cocktail,6,cocktail classics,3/4 oz,dry vermouth,1 1/2 oz,gin,,,,,,,,,olive,stir with ice and strain into cocktail glass. garnish with an olive.,cocktail glass,6
hawaiin cocktail,6,cocktail classics,2 oz,gin,1 oz,pineapple juice,1/2 oz,triple sec,,,,,,,,shake with ice and strain into cocktail glass.,cocktail glass,6
white russian,6,vodka,2 oz,vodka,1 oz,coffee liqueur,,milk or half-and-half,,,,,,,,pour vodka and coffee liqueur into ice-filled old-fashioned glass. fill with milk or half-and-half.,old-fashioned glass,6
greyhound,7,cocktail classics,1 1/2 oz,gin,5 oz,grapefruit juice,,,,,,,,,,pour into highball glass over ice cubes. stir well.,highball glass,7
green devil,6,cocktail classics,1 1/2 oz,gin,1 1/2 oz,green creme de menthe,1 oz,lime juice,,,,,,,mint,shake with ice and strain into old-fashioned glass over ice cubes. garnish with mint.,old-fashioned glass,6
greenback,6,cocktail classics,1 1/2 oz,gin,1 oz,green creme de menthe,1 oz,lemon juice,,,,,,,,shake with ice and strain into old-fashioned glass over ice cubes.,old-fashioned glass,6
grapefruit cocktail,6,cocktail classics,1 oz,grapefruit juice,1 oz,gin,1 oz,maraschino,,,,,,,cherry,shake with ice and strain into cocktail glass. serve with a cherry.,cocktail glass,6
hotel d'alsace,6,whiskies,1 oz,rosemary sprig,2 oz,irish whiskey,1/2 oz,benedictine,1/2 oz,triple sec,,,,,rosemary,muddle leaves from half-sprig of rosemary in mixing glass and reserve the other half. add remaining ingredients. stir with ice and strain into ice-filled old-fashioned glass. garnish with rosemary.,old-fashioned glass,6
jamaica granito,14,brandy,1 1/2 oz,brandy,1 oz,triple sec,1 oz,lemon or orange sherbet,soda water,,,,,,nutmeg,add first three ingredients to collins glass. add soda water. top with nutmeg.,collins glass,14
gin sling,6,cocktail classics,1 oz,powdered sugar,1 oz,water,1/2 oz,lemon juice,2 oz,gin,,,,,orange twist,dissolve sugar in water and lemon juice. add gin. pour into old-fashioned glass over ice cubes and stir. garnish with an orange twist,old-fashioned glass,6
gin milk punch,14,cocktail classics,1 oz,powdered sugar,2 oz,gin,1 oz,milk,,,,,,,nutmeg,"shake with ice, strain into collins glass, and top with nutmeg.",collins glass,14
horse's neck (with a kick),14,whiskies,1 oz,wide spiral of lemon zest,2 oz,bourbon whiskey,1 oz,ginger ale,,,,,,,lemon twist,fill collins glass with ice cubes. add whiskey. fill with ginger ale and stir well. garnish with lemon twist.,collins glass,14
gin and it,6,cocktail classics,2 oz,gin,1 oz,sweet vermouth,,,,,,,,,,stir ingredients in cocktail glass. (no ice is used in this drink.),cocktail glass,6
gin cocktail,6,cocktail classics,2 oz,gin,2 oz,bitters,,,,,,,,,lemon twist,stir with ice and strain into cocktail glass. garnish with a lemon twist.,cocktail glass,6
west side,6,vodka,1 1/2 oz,lemon-flavored vodka,3/4 oz,lemon juice,1/2 oz,simple syrup,,,soda water,,,,,shake first four ingredients with ice and double-strain into chilled cocktail glass. top with a splash of soda water.,cocktail glass,6
gimlet,6,cocktail classics,1 oz,lime juice,1 oz,powdered sugar,1 1/2 oz,gin,,,,,,,,shake with ice and strain into cocktail glass.,cocktail glass,6
free silver,14,cocktail classics,1/4 oz,lemon juice,1/2 oz,powdered sugar,1 1/2 oz,gin,1/2 oz,dark rum,1 oz,milk,,club soda,,shake with ice and strain into collins glass over ice cubes. fill with club soda.,collins glass,14
frankenjack cocktail,6,cocktail classics,1 oz,gin,3/4 oz,dry vermouth,1/2 oz,apricot flavored brandy,1 oz,triple sec,1/2 oz,lime juice,1 1/2 oz,gin & ginger ale,cherry,stir with ice and strain into cocktail glass. garnish with a cherry.,cocktail glass,6
fog horn,7,cocktail classics,1/2 oz,lime juice,1 1/2 oz,gin & ginger ale,2 oz,gin,1 oz,triple sec,,,,,lime slice,pour into highball glass over ice cubes. fill with ginger ale. stir. garnish with a lime slice.,highball glass,7
flying dutchman,6,cocktail classics,2 oz,gin,1 oz,triple sec,,,,,,,,,,shake with ice and strain into old-fashioned glass over ice cubes.,old-fashioned glass,6
hoot mon cocktail,6,whiskies,1 1/2 oz,blended scotch whiskey,3/4 oz,sweet vermouth,1 oz,benedictine,,,,,,,lemon twist,stir with ice and strain into chilled cocktail glass. garnish with a lemon twist.,cocktail glass,6
fifty-fifty cocktail,6,cocktail classics,1 1/2 oz,gin,1 1/2 oz,dry vermouth,,,,,,,,,,stir with ice and strain into cocktail glass.,cocktail glass,6
favorite cocktail,6,cocktail classics,3/4 oz,apricot flavored brandy,3/4 oz,dry vermouth,3/4 oz,gin,1/4 oz,lemon juice,,,,,,shake with ice and strain into cocktail glass.,cocktail glass,6
farmer's cocktail,6,cocktail classics,1 oz,gin,1/2 oz,dry vermouth,1/2 oz,sweet vermouth,2 oz,bitters,,,,,,stir with ice and strain into cocktail glass.,cocktail glass,6
warsaw cocktail,6,vodka,1 1/2 oz,vodka,1/2 oz,blackberry-flavored brandy,1/2 oz,dry vermouth,1 oz,lemon juice,,,,,,shake with ice and strain into chilled cocktail glass.,cocktail glass,6
emerald isle cocktail,6,cocktail classics,2 oz,gin,1 oz,green creme de menthe,3 oz,bitters,,,,,,,,stir with ice and strain into cocktail glass.,cocktail glass,6
du barry cocktail,6,cocktail classics,1 oz,bitters,3/4 oz,dry vermouth,1/2 oz,anisette,1 1/2 oz,gin,,,,,orange slice,stir with ice and strain into cocktail glass. garnish with an orange slice.,cocktail glass,6
dry martini (5-to-1),6,cocktail classics,1 2/3 oz,gin,1/3 oz,dry vermouth,,,,,,,,,"lemon twist, olive","stir vermouth and gin over ice cubes in mixing glass. strain into cocktail glass. garnish with a lemon twist or an olive, if desired.",cocktail glass,6
dixie cocktail,6,cocktail classics,1/4 oz,orange juice,1 oz,anisette,1/2 oz,dry vermouth,1 oz,gin,,,,,,shake with ice and strain into cocktail glass.,cocktail glass,6
delmonico no. 2,6,cocktail classics,1 oz,orange bitters,1 oz,dry vermouth,1 1/2 oz,gin,,,,,,,lemon twist,stir with ice and strain into cocktail glass. garnish with a lemon twist.,cocktail glass,6
hole-in-one,6,whiskies,1 3/4 oz,blended scotch whiskey,3/4 oz,dry vermouth,1/4 oz,lemon juice,1 oz,orange bitters,,,,,,shake with ice and strain into chilled cocktail glass.,cocktail glass,6
